WOW FI - FASTWEB,-86,1,6a:6a:0a:e7:b5:9e,Unknown,2019-9-20T16:44:34.0Z,41.069790,16.983459,59.60,165.73,3.80,9
FASTWEB-5FQH7R,-88,1,08:6a:0a:e7:b5:9d,WPA2,2019-9-20T16:44:34.0Z,41.069790,16.983459,59.60,165.73,3.80,9
TIM-83533192,-89,11,b4:a5:ef:9b:e4:c3,WPA2,2019-9-20T16:44:34.0Z,41.069790,16.983459,59.60,165.73,3.80,9
Vodafone-30160807,-91,4,90:35:6e:8b:eb:78,WPA2,2019-9-20T16:44:34.0Z,41.069790,16.983459,59.60,165.73,3.80,9
TIM-20551173,-91,11,a4:91:b1:39:96:05,WPA2,2019-9-20T16:44:34.0Z,41.069790,16.983459,59.60,165.73,3.80,9
Telecom-30179161,-93,1,c4:ea:1d:b8:41:59,WPA2,2019-9-20T16:44:34.0Z,41.069790,16.983459,59.60,165.73,3.80,9
Home&Life SuperWiFi-C265,-94,1,c8:54:4b:b4:c2:65,WPA2,2019-9-20T16:44:34.0Z,41.069790,16.983459,59.60,165.73,3.80,9
Vodafone-30160807,-84,4,90:35:6e:8b:eb:78,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,59.60,150.45,6.32,9
TIM-20551173,-86,11,a4:91:b1:39:96:05,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,59.60,150.45,6.32,9
FASTWEB-5FQH7R,-91,1,08:6a:0a:e7:b5:9d,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,59.60,150.45,6.32,9
Home&Life SuperWiFi-C265,-92,1,c8:54:4b:b4:c2:65,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,59.60,150.45,6.32,9
TIM-83533192,-92,11,b4:a5:ef:9b:e4:c3,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,59.60,150.45,6.32,9
TIM-20863827,-93,1,a4:91:b1:3e:5b:53,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,59.60,150.45,6.32,9
WOW FI - FASTWEB,-94,1,6a:6a:0a:e7:b5:9e,Unknown,2019-9-20T16:44:50.0Z,41.069645,16.983536,59.60,150.45,6.32,9
Vodafone-30160807,-78,4,90:35:6e:8b:eb:78,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
Vodafone-34812121,-90,13,bc:15:ac:75:78:e9,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
Vodafone-WiFi,-91,13,bc:15:ac:75:78:eb,None,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
TIM-20863827,-92,1,a4:91:b1:3e:5b:53,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
Infostrada-51BB34,-92,1,28:3b:82:51:bb:35,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
FASTWEB-5FQH7R,-94,1,08:6a:0a:e7:b5:9d,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
WOW FI - FASTWEB,-94,1,6a:6a:0a:e7:b5:9e,Unknown,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
Home&Life SuperWiFi-C265,-95,1,c8:54:4b:b4:c2:65,WPA2,2019-9-20T16:44:50.0Z,41.069645,16.983536,61.50,150.45,6.32,9
Vodafone-30160807,-84,4,90:35:6e:8b:eb:78,WPA2,2019-9-20T16:45:6.0Z,41.069492,16.983644,61.50,153.50,2.96,9
Infostrada-51BB34,-86,1,28:3b:82:51:bb:35,WPA2,2019-9-20T16:45:6.0Z,41.069492,16.983644,61.50,153.50,2.96,9
Vodafone-WiFi,-90,13,bc:15:ac:75:78:eb,None,2019-9-20T16:45:6.0Z,41.069492,16.983644,61.50,153.50,2.96,9
TIM-88870949,-93,1,78:94:b4:19:80:13,WPA2,2019-9-20T16:45:6.0Z,41.069492,16.983644,61.50,153.50,2.96,9
Linkem2.4GHz_6142FB,-93,9,1c:49:7b:61:42:fc,WPA2,2019-9-20T16:45:6.0Z,41.069492,16.983644,61.50,153.50,2.96,9
Vodafone-34812121,-93,13,bc:15:ac:75:78:e9,WPA2,2019-9-20T16:45:6.0Z,41.069492,16.983644,61.50,153.50,2.96,9
Infostrada-51BB34,-88,1,28:3b:82:51:bb:35,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,61.50,138.03,6.30,9
Linkem2.4GHz_6142FB,-91,9,1c:49:7b:61:42:fc,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,61.50,138.03,6.30,9
Vodafone-30160807,-94,4,90:35:6e:8b:eb:78,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,61.50,138.03,6.30,9
Vodafone-34812121,-95,13,bc:15:ac:75:78:e9,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,61.50,138.03,6.30,9
Vodafone-WiFi,-95,13,bc:15:ac:75:78:eb,None,2019-9-20T16:45:37.0Z,41.069199,16.983917,61.50,138.03,6.30,9
dlink-D3ED,-84,6,78:32:1b:f2:d3:ef,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
TIM-28275109,-86,6,10:13:31:af:71:a5,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
Vodafone-WiFi,-87,10,e4:8f:34:4a:a0:ee,None,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
TNCAP993E39,-88,1,9c:97:26:99:3e:39,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
Vodafone-78166653,-88,10,e4:8f:34:4a:a0:ec,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
WOW FI - FASTWEB,-89,1,9e:97:26:99:3e:3a,Unknown,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
Vodafone-Guest,-89,10,e4:8f:34:4a:a0:ed,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
Linkem2.4GHz_6142FB,-90,9,1c:49:7b:61:42:fc,WPA2,2019-9-20T16:45:37.0Z,41.069199,16.983917,59.00,138.03,6.30,9
Vodafone-34760857_EXT,-77,3,64:d1:a3:1b:07:97,WPA2,2019-9-20T16:45:53.0Z,41.069046,16.984077,59.00,142.50,4.46,9
dlink-D3ED,-91,6,78:32:1b:f2:d3:ef,WPA2,2019-9-20T16:45:53.0Z,41.069046,16.984077,59.00,142.50,4.46,9
WOW FI - FASTWEB,-93,1,9e:97:26:99:3e:3a,Unknown,2019-9-20T16:45:53.0Z,41.069046,16.984077,59.00,142.50,4.46,9
PT2,-94,1,30:b5:c2:64:82:f3,WPA2,2019-9-20T16:45:53.0Z,41.069046,16.984077,59.00,142.50,4.46,9
ECOVACS_1093,-94,1,de:4f:22:08:3b:f2,None,2019-9-20T16:45:53.0Z,41.069046,16.984077,59.00,142.50,4.46,9
TNCAP993E39,-95,1,9c:97:26:99:3e:39,WPA2,2019-9-20T16:45:53.0Z,41.069046,16.984077,59.00,142.50,4.46,9
TIM-30261647,-95,11,a4:91:b1:cd:c1:8f,WPA2,2019-9-20T16:46:9.0Z,41.068947,16.984234,59.00,142.50,1.11,9
Vodafone-34684586,-96,8,bc:15:ac:55:87:b9,WPA2,2019-9-20T16:46:9.0Z,41.068947,16.984234,59.00,142.50,1.11,9
Vodafone-34760857_EXT,-93,3,64:d1:a3:1b:07:97,WPA2,2019-9-20T16:46:9.0Z,41.068947,16.984234,62.80,142.50,1.11,9
TIM-30261647,-95,11,a4:91:b1:cd:c1:8f,WPA2,2019-9-20T16:46:9.0Z,41.068947,16.984234,62.80,142.50,1.11,9
TIM-04759772,-84,2,78:81:02:23:4d:5b,WPA2,2019-9-20T16:46:40.0Z,41.069237,16.984528,62.80,142.50,2.59,9
Vodafone-34684586,-90,8,bc:15:ac:55:87:b9,WPA2,2019-9-20T16:46:40.0Z,41.069237,16.984528,62.80,142.50,2.59,9
TIM-30261647,-92,11,a4:91:b1:cd:c1:8f,WPA2,2019-9-20T16:46:40.0Z,41.069237,16.984528,62.80,142.50,2.59,9
TIM-04759772,-94,2,78:81:02:23:4d:5b,WPA2,2019-9-20T16:46:56.0Z,41.069405,16.984648,62.80,142.50,2.06,9
ABB-8c-45-00-f7-a5-cf,-90,1,8c:45:00:f7:a5:cf,WPA2,2019-9-20T16:47:11.0Z,41.069576,16.984774,60.90,142.50,2.06,9
TIM-04759772,-92,2,78:81:02:23:4d:5b,WPA2,2019-9-20T16:47:11.0Z,41.069576,16.984774,60.90,142.50,2.06,9
FASTWEB-J1GEH1_2GEXT,-94,6,cc:40:d0:89:5e:ad,WPA2,2019-9-20T16:47:11.0Z,41.069576,16.984774,60.90,142.50,2.06,9
SMARTCAM_55324,-94,6,78:c4:0e:40:37:ee,None,2019-9-20T16:47:11.0Z,41.069576,16.984774,60.90,142.50,2.06,9
Vodafone-34684586,-94,8,bc:15:ac:55:87:b9,WPA2,2019-9-20T16:47:11.0Z,41.069576,16.984774,60.90,142.50,2.06,9
Vodafone-33604401,-96,8,64:59:f8:23:4c:38,WPA2,2019-9-20T16:47:11.0Z,41.069576,16.984774,60.90,142.50,2.06,9
Vodafone-A63370828,-89,13,e4:8f:34:b2:0d:a5,WPA2,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.90,35.00,3.33,9
Vodafone-34684586,-91,8,bc:15:ac:55:87:b9,WPA2,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.90,35.00,3.33,9
Vodafone-WiFi,-91,13,82:8f:34:b2:0d:a6,None,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.90,35.00,3.33,9
SMARTCAM_55324,-94,6,78:c4:0e:40:37:ee,None,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.90,35.00,3.33,9
TIM-30261647,-94,11,a4:91:b1:cd:c1:8f,WPA2,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.90,35.00,3.33,9
ABB-8c-45-00-f7-a5-cf,-84,1,8c:45:00:f7:a5:cf,WPA2,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.20,35.00,3.33,9
Vodafone-34760857_EXT,-92,3,64:d1:a3:1b:07:97,WPA2,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.20,35.00,3.33,9
Vodafone-34684586,-92,8,bc:15:ac:55:87:b9,WPA2,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.20,35.00,3.33,9
ABB-a4-08-ea-c0-12-59,-94,1,a4:08:ea:c0:12:59,WPA,2019-9-20T16:47:43.0Z,41.069805,16.984879,60.20,35.00,3.33,9
ABB-8c-45-00-f7-a5-cf,-90,1,8c:45:00:f7:a5:cf,WPA2,2019-9-20T16:47:59.0Z,41.070011,16.985003,60.20,20.21,6.35,9
Vodafone-34760857_EXT,-92,3,64:d1:a3:1b:07:97,WPA2,2019-9-20T16:47:59.0Z,41.070011,16.985003,60.20,20.21,6.35,9
Vodafone-A41447004,-92,13,bc:15:ac:e2:3a:84,WPA2,2019-9-20T16:47:59.0Z,41.070011,16.985003,60.20,20.21,6.35,9
Vodafone-WiFi,-92,13,92:15:ac:e2:3a:85,None,2019-9-20T16:47:59.0Z,41.070011,16.985003,60.20,20.21,6.35,9
ABB-a4-08-ea-c0-12-59,-93,1,a4:08:ea:c0:12:59,WPA,2019-9-20T16:47:59.0Z,41.070011,16.985003,60.20,20.21,6.35,9
Home&Life SuperWiFi-B1A1,-93,4,c8:54:4b:cb:b1:a1,WPA2,2019-9-20T16:47:59.0Z,41.070011,16.985003,60.20,20.21,6.35,9
